X0, Y0, X1, Y1, σ_X0, σ_Y0, σ_X1, σ_Y1,Actuator_x, Actuator_y
4.2660e-03, -9.1296e-01,-2.5109e-02, -9.3025e-01, 2.70678e-03,3.10828e-03,1.43359e-03, 1.58227e-03, 1.0500e+01, 3.0000e+00
1.2330e-03, -9.2644e-01,-2.6044e-02, -8.9016e-01, 8.50823e-04,8.42058e-04,6.34142e-04, 6.30740e-04, 1.0500e+01, 4.0000e+00
1.6590e-03, -8.3877e-01,-2.4238e-02, -7.9051e-01, 8.38784e-04,8.29567e-04,6.30316e-04, 6.26598e-04, 1.0500e+01, 5.0000e+00
2.0250e-03, -7.6320e-01,-2.4457e-02, -7.0293e-01, 9.89959e-04,8.68219e-04,5.93604e-04, 7.13510e-04, 1.0500e+01, 6.0000e+00
9.1780e-03, -6.5386e-01,-2.3656e-02, -6.0469e-01, 7.02629e-04,8.61491e-04,5.75707e-04, 6.05124e-04, 1.0500e+01, 7.0000e+00
6.1530e-03, -5.5506e-01,-1.9398e-02, -4.9767e-01, 8.59100e-04,7.65631e-04,5.68111e-04, 6.32829e-04, 1.0500e+01, 8.0000e+00
-9.8000e-04, -4.5212e-01,-1.8846e-02, -3.9955e-01, 7.02385e-04,8.08406e-04,5.33967e-04, 6.01015e-04, 1.0500e+01, 9.0000e+00
1.7350e-03, -3.4653e-01,-1.4981e-02, -3.0092e-01, 6.74604e-04,9.53468e-04,5.48348e-04, 6.70378e-04, 1.0500e+01, 1.0000e+01
4.7990e-03, -2.3845e-01,-1.2111e-02, -2.0221e-01, 6.31049e-04,8.52086e-04,5.75210e-04, 5.74092e-04, 1.0500e+01, 1.1000e+01
6.1580e-03, -1.3178e-01,-9.1270e-03, -1.0365e-01, 6.64277e-04,8.77385e-04,6.05205e-04, 5.46100e-04, 1.0500e+01, 1.2000e+01
-3.9741e-02, -2.0622e-02,-5.1451e-02, -3.1810e-03, 1.82702e-03,8.49739e-04,1.71094e-03, 5.09464e-04, 1.0500e+01, 1.3000e+01
1.0946e-02, 8.6967e-02,-3.3280e-03, 9.4384e-02, 6.89150e-04,8.82131e-04,6.11035e-04, 5.24729e-04, 1.0500e+01, 1.4000e+01
1.3734e-02, 1.9847e-01,-1.1190e-03, 1.9335e-01, 6.26941e-04,8.18639e-04,5.18039e-04, 5.20145e-04, 1.0500e+01, 1.5000e+01
1.6018e-02, 3.1000e-01,2.9400e-04, 2.9354e-01, 6.91348e-04,8.13851e-04,5.39039e-04, 5.47711e-04, 1.0500e+01, 1.6000e+01
1.9770e-02, 4.2111e-01,1.6460e-03, 3.9289e-01, 7.85634e-04,8.07472e-04,5.59953e-04, 6.22371e-04, 1.0500e+01, 1.7000e+01
3.0566e-02, 5.2822e-01,3.1660e-03, 4.9176e-01, 8.72073e-04,7.70572e-04,5.77483e-04, 5.50002e-04, 1.0500e+01, 1.8000e+01
3.9106e-02, 6.2016e-01,1.6910e-03, 5.9628e-01, 6.80879e-04,7.61753e-04,5.18372e-04, 5.59176e-04, 1.0500e+01, 1.9000e+01
5.3749e-02, 6.9017e-01,-4.2300e-04, 7.0834e-01, 7.84806e-04,8.27448e-04,6.03140e-04, 5.99460e-04, 1.0500e+01, 2.0000e+01
5.2476e-02, 7.9289e-01,7.1160e-03, 8.0953e-01, 7.90519e-04,1.27651e-03,5.68219e-04, 4.70258e-04, 1.0500e+01, 2.1000e+01
4.9441e-02, 9.1836e-01,1.4264e-02, 8.9286e-01, 8.14717e-04,9.61140e-04,5.39243e-04, 5.77334e-04, 1.0500e+01, 2.2000e+01
5.4158e-02, 9.7607e-01,1.6252e-02, 9.6200e-01, 1.27188e-03,1.35416e-03,8.69333e-04, 8.77433e-04, 1.0500e+01, 2.3000e+01
1.1746e-02, -2.0317e-02,-3.1370e-03, -5.3590e-03, 6.87337e-04,8.66376e-04,6.14420e-04, 5.66789e-04, 1.0500e+01, 1.3000e+01
-9.9211e-01, 1.6058e-02,-9.8795e-01, 8.2200e-03, 8.22183e-04,7.23322e-04,3.93126e-04, 4.43553e-04, 5.0000e-01, 1.3000e+01
-9.1478e-01, 1.3889e-02,-9.2391e-01, 6.4050e-03, 8.34586e-04,7.44897e-04,5.23668e-04, 4.79207e-04, 1.5000e+00, 1.3000e+01
-8.3075e-01, 5.8300e-03,-8.3310e-01, 4.3450e-03, 7.89587e-04,7.41380e-04,5.47261e-04, 4.87387e-04, 2.5000e+00, 1.3000e+01
-6.9386e-01, -1.1562e-02,-7.3655e-01, 2.7960e-03, 7.45220e-04,6.99647e-04,4.95912e-04, 4.46456e-04, 3.5000e+00, 1.3000e+01
-6.1915e-01, 1.3720e-03,-6.2305e-01, -1.4050e-03, 7.64976e-04,6.82765e-04,5.32312e-04, 4.59590e-04, 4.5000e+00, 1.3000e+01
-5.2087e-01, -1.3690e-03,-5.2022e-01, -3.9300e-04, 7.37860e-04,7.08182e-04,5.21366e-04, 4.83723e-04, 5.5000e+00, 1.3000e+01
-4.1278e-01, -2.9870e-03,-4.1733e-01, -9.2700e-04, 6.69367e-04,7.54292e-04,5.12858e-04, 5.43553e-04, 6.5000e+00, 1.3000e+01
-3.0687e-01, -7.3470e-03,-3.1484e-01, -2.1450e-03, 7.10132e-04,7.27729e-04,5.35388e-04, 4.97878e-04, 7.5000e+00, 1.3000e+01
-1.9620e-01, -1.2838e-02,-2.0773e-01, -3.5610e-03, 6.55058e-04,8.06063e-04,5.31418e-04, 5.35876e-04, 8.5000e+00, 1.3000e+01
-8.9932e-02, -1.6500e-02,-1.0469e-01, -4.4100e-03, 6.45565e-04,7.83673e-04,5.30493e-04, 4.83951e-04, 9.5000e+00, 1.3000e+01
1.4757e-02, -2.0234e-02,-4.5300e-04, -6.0140e-03, 6.92957e-04,8.27978e-04,5.99174e-04, 5.43024e-04, 1.0500e+01, 1.3000e+01
1.2242e-01, -2.2069e-02,1.0635e-01, -6.9100e-03, 7.05364e-04,8.18194e-04,6.20195e-04, 5.32516e-04, 1.1500e+01, 1.3000e+01
2.3256e-01, -2.4470e-02,2.1488e-01, -7.7080e-03, 7.31273e-04,8.09386e-04,6.07805e-04, 6.15211e-04, 1.2500e+01, 1.3000e+01
3.4286e-01, -2.6817e-02,3.2328e-01, -8.1370e-03, 9.39921e-04,8.10272e-04,7.12271e-04, 6.78077e-04, 1.3500e+01, 1.3000e+01
4.6199e-01, -2.8478e-02,4.3550e-01, -9.5920e-03, 1.10286e-03,7.82750e-04,7.67000e-04, 7.51871e-04, 1.4500e+01, 1.3000e+01
5.7991e-01, -3.2984e-02,5.4180e-01, -1.5940e-02, 7.53432e-04,7.47446e-04,7.53797e-04, 7.16275e-04, 1.5500e+01, 1.3000e+01
6.7700e-01, -4.1160e-02,6.4329e-01, -1.3341e-02, 8.41452e-04,9.26492e-04,1.33383e-03, 8.35665e-04, 1.6500e+01, 1.3000e+01
7.7643e-01, -2.9746e-02,7.6002e-01, -8.2920e-03, 1.02282e-03,7.85266e-04,9.47519e-04, 8.55823e-04, 1.7500e+01, 1.3000e+01
8.6740e-01, -3.2528e-02,8.5316e-01, -8.8280e-03, 1.08081e-03,8.37655e-04,1.18405e-03, 1.01183e-03, 1.8500e+01, 1.3000e+01
9.4887e-01, -3.5015e-02,9.3229e-01, -1.0298e-02, 1.07018e-03,8.34124e-04,1.23357e-03, 1.07454e-03, 1.9500e+01, 1.3000e+01
1.0077e+00, -4.0802e-02,9.9807e-01, -9.7750e-03, 1.11255e-03,9.72158e-04,1.33767e-03, 1.12185e-03, 2.0500e+01, 1.3000e+01
1.8239e-02, -1.9034e-02,2.4580e-03, -5.9260e-03, 6.49648e-04,8.10240e-04,5.50727e-04, 5.56601e-04, 1.0500e+01, 1.3000e+01
