X0, Y0, X1, Y1, σ_X0, σ_Y0, σ_X1, σ_Y1,Actuator_x, Actuator_y
-7.5840e-03, 3.6065e-02,-1.7606e-02, 9.9500e-03, 6.45873e-04,7.68789e-04,5.37088e-04, 4.68804e-04, 5.5000e+00, 8.5000e+00
1.1261e-01, -1.4742e-01,9.7338e-02, -1.5561e-01, 6.31170e-04,7.49166e-04,5.26412e-04, 4.81343e-04, 5.5000e+00, 6.5000e+00
8.4485e-02, -1.0229e-01,7.0150e-02, -1.1411e-01, 5.57027e-04,7.07395e-04,5.13589e-04, 4.38374e-04, 5.5000e+00, 7.0000e+00
5.4437e-02, -5.6944e-02,4.1491e-02, -7.2735e-02, 5.98181e-04,7.65272e-04,5.31726e-04, 4.87455e-04, 5.5000e+00, 7.5000e+00
2.5930e-02, -1.2792e-02,1.3732e-02, -3.2126e-02, 5.85974e-04,7.71084e-04,4.82629e-04, 4.59543e-04, 5.5000e+00, 8.0000e+00
-2.8720e-03, 3.4374e-02,-1.4359e-02, 1.0577e-02, 6.75771e-04,7.64884e-04,5.81663e-04, 5.07394e-04, 5.5000e+00, 8.5000e+00
-3.2349e-02, 7.9060e-02,-4.2740e-02, 5.0943e-02, 5.99920e-04,7.75259e-04,4.89682e-04, 4.68381e-04, 5.5000e+00, 9.0000e+00
-6.0797e-02, 1.2538e-01,-7.0482e-02, 9.3498e-02, 6.06516e-04,7.36860e-04,5.04027e-04, 4.68044e-04, 5.5000e+00, 9.5000e+00
-9.0306e-02, 1.7122e-01,-9.8429e-02, 1.3430e-01, 6.28423e-04,6.97590e-04,5.33252e-04, 4.02832e-04, 5.5000e+00, 1.0000e+01
-1.1862e-01, 2.1786e-01,-1.2553e-01, 1.7653e-01, 5.96833e-04,6.93143e-04,5.03048e-04, 4.44571e-04, 5.5000e+00, 1.0500e+01
-1.4876e-01, 2.6357e-01,-1.5531e-01, 2.1817e-01, 6.29114e-04,7.27395e-04,5.64965e-04, 5.51266e-04, 5.5000e+00, 1.1000e+01
-1.7722e-01, 3.0955e-01,-1.8326e-01, 2.5997e-01, 6.42407e-04,7.23617e-04,5.17297e-04, 5.04984e-04, 5.5000e+00, 1.1500e+01
-2.0605e-01, 3.5630e-01,-2.1067e-01, 3.0223e-01, 6.12506e-04,6.70606e-04,4.63586e-04, 4.26434e-04, 5.5000e+00, 1.2000e+01
6.4600e-04, 3.6274e-02,-1.0933e-02, 1.2211e-02, 6.27476e-04,7.57162e-04,5.02948e-04, 4.65369e-04, 5.5000e+00, 8.5000e+00
-1.7318e-01, -7.7991e-02,-1.8218e-01, -9.4571e-02, 7.02604e-04,7.26644e-04,6.01526e-04, 4.85213e-04, 3.5000e+00, 8.5000e+00
-1.2945e-01, -5.1133e-02,-1.4064e-01, -6.8676e-02, 6.05814e-04,7.14650e-04,4.81181e-04, 4.56688e-04, 4.0000e+00, 8.5000e+00
-8.6105e-02, -2.1897e-02,-9.7865e-02, -4.1766e-02, 6.73951e-04,7.72070e-04,5.78996e-04, 4.98123e-04, 4.5000e+00, 8.5000e+00
-4.1348e-02, 8.3250e-03,-5.3125e-02, -1.4306e-02, 5.94078e-04,7.09980e-04,5.01469e-04, 4.13221e-04, 5.0000e+00, 8.5000e+00
2.2910e-03, 3.6979e-02,-9.7520e-03, 1.1814e-02, 5.96563e-04,7.04686e-04,5.06442e-04, 4.43253e-04, 5.5000e+00, 8.5000e+00
4.6893e-02, 6.8420e-02,3.5131e-02, 3.9824e-02, 6.34711e-04,7.32419e-04,5.42639e-04, 4.86502e-04, 6.0000e+00, 8.5000e+00
9.2143e-02, 9.8588e-02,8.0069e-02, 6.6736e-02, 5.90558e-04,7.00811e-04,4.92708e-04, 4.58701e-04, 6.5000e+00, 8.5000e+00
1.3908e-01, 1.2956e-01,1.2698e-01, 9.4694e-02, 6.06064e-04,7.06498e-04,5.07291e-04, 4.46905e-04, 7.0000e+00, 8.5000e+00
1.8276e-01, 1.5863e-01,1.6933e-01, 1.2079e-01, 7.03819e-04,7.02095e-04,5.21259e-04, 4.94234e-04, 7.5000e+00, 8.5000e+00
2.2975e-01, 1.8884e-01,2.1526e-01, 1.4775e-01, 7.34129e-04,7.34723e-04,5.17654e-04, 5.16980e-04, 8.0000e+00, 8.5000e+00
2.7365e-01, 2.1916e-01,2.5854e-01, 1.7477e-01, 8.76159e-04,7.65352e-04,6.94018e-04, 5.80941e-04, 8.5000e+00, 8.5000e+00
3.1965e-01, 2.5041e-01,3.0505e-01, 2.0230e-01, 8.17374e-04,7.21522e-04,5.70899e-04, 5.54416e-04, 9.0000e+00, 8.5000e+00
