X0, Y0, X1, Y1, σ_X0, σ_Y0, σ_X1, σ_Y1, Actuator_1, Actuator_2
0.0372, -0.0516, 0.0176, -0.0351, 0.00041, 0.00053, 0.00037, 0.00034, 10.0000, 13.0000
-0.0672, -0.0533, -0.0869, -0.0379, 0.00039, 0.00049, 0.00032, 0.00031, 9.0000, 13.0000
-0.1733, -0.0516, -0.1893, -0.0396, 0.00040, 0.00048, 0.00032, 0.00028, 8.0000, 13.0000
-0.2826, -0.0491, -0.2960, -0.0418, 0.00041, 0.00047, 0.00031, 0.00031, 7.0000, 13.0000
-0.3910, -0.0481, -0.4001, -0.0435, 0.00041, 0.00045, 0.00032, 0.00033, 6.0000, 13.0000
-0.4985, -0.0496, -0.5018, -0.0456, 0.00040, 0.00043, 0.00028, 0.00030, 5.0000, 13.0000
-0.6003, -0.0505, -0.6026, -0.0490, 0.00044, 0.00041, 0.00029, 0.00027, 4.0000, 13.0000
-0.6862, -0.0598, -0.7130, -0.0506, 0.00047, 0.00044, 0.00029, 0.00027, 3.0000, 13.0000
-0.7946, -0.0607, -0.8165, -0.0521, 0.00143, 0.00073, 0.00031, 0.00028, 2.0000, 13.0000
-0.8918, -0.0520, -0.9106, -0.0518, 0.00270, 0.00099, 0.00050, 0.00032, 1.0000, 13.0000
0.0339, -0.0523, 0.0149, -0.0362, 0.00039, 0.00053, 0.00035, 0.00034, 10.0000, 13.0000
0.1416, -0.0510, 0.1213, -0.0335, 0.00044, 0.00050, 0.00038, 0.00036, 11.0000, 13.0000
0.2505, -0.0509, 0.2282, -0.0323, 0.00046, 0.00049, 0.00036, 0.00038, 12.0000, 13.0000
0.3635, -0.0492, 0.3388, -0.0289, 0.00058, 0.00050, 0.00046, 0.00045, 13.0000, 13.0000
0.4805, -0.0473, 0.4496, -0.0275, 0.00067, 0.00045, 0.00046, 0.00049, 14.0000, 13.0000
0.5983, -0.0485, 0.5562, -0.0309, 0.00046, 0.00045, 0.00047, 0.00047, 15.0000, 13.0000
0.6863, -0.0599, 0.6716, -0.0248, 0.00064, 0.00057, 0.00085, 0.00052, 16.0000, 13.0000
0.7956, -0.0384, 0.7766, -0.0169, 0.00065, 0.00048, 0.00061, 0.00058, 17.0000, 13.0000
0.8826, -0.0377, 0.8643, -0.0144, 0.00065, 0.00049, 0.00066, 0.00062, 18.0000, 13.0000
0.9594, -0.0359, 0.9435, -0.0119, 0.00069, 0.00051, 0.00079, 0.00071, 19.0000, 13.0000
0.0360, -0.0517, 0.0161, -0.0364, 0.00039, 0.00050, 0.00034, 0.00032, 10.0000, 13.0000
0.0390, -0.1604, 0.0171, -0.1354, 0.00039, 0.00048, 0.00035, 0.00035, 10.0000, 12.0000
0.0436, -0.2672, 0.0195, -0.2333, 0.00043, 0.00048, 0.00035, 0.00037, 10.0000, 11.0000
0.0474, -0.3741, 0.0210, -0.3312, 0.00046, 0.00048, 0.00035, 0.00040, 10.0000, 10.0000
0.0572, -0.4799, 0.0261, -0.4293, 0.00052, 0.00049, 0.00037, 0.00039, 10.0000, 9.0000
0.0621, -0.5200, 0.0274, -0.4670, 0.00054, 0.00047, 0.00039, 0.00042, 10.0000, 8.0000
0.0650, -0.5406, 0.0283, -0.4874, 0.00046, 0.00045, 0.00034, 0.00039, 10.0000, 7.0000
0.0657, -0.5480, 0.0286, -0.4949, 0.00045, 0.00047, 0.00034, 0.00039, 10.0000, 6.0000
0.0657, -0.5526, 0.0280, -0.4996, 0.00046, 0.00046, 0.00036, 0.00039, 10.0000, 5.0000
0.0651, -0.5533, 0.0272, -0.5005, 0.00049, 0.00048, 0.00039, 0.00041, 10.0000, 4.0000
0.0437, -0.0535, 0.0232, -0.0357, 0.00042, 0.00048, 0.00036, 0.00035, 10.0000, 13.0000
0.0409, 0.0554, 0.0203, 0.0629, 0.00038, 0.00047, 0.00034, 0.00033, 10.0000, 14.0000
0.0403, 0.1654, 0.0192, 0.1622, 0.00044, 0.00045, 0.00034, 0.00032, 10.0000, 15.0000
0.0413, 0.2752, 0.0183, 0.2608, 0.00047, 0.00045, 0.00033, 0.00035, 10.0000, 16.0000
0.0420, 0.3860, 0.0161, 0.3610, 0.00050, 0.00046, 0.00035, 0.00036, 10.0000, 17.0000
0.0493, 0.4924, 0.0158, 0.4591, 0.00049, 0.00047, 0.00031, 0.00033, 10.0000, 18.0000
0.0563, 0.5931, 0.0138, 0.5603, 0.00044, 0.00047, 0.00035, 0.00036, 10.0000, 19.0000
0.0637, 0.6612, 0.0088, 0.6736, 0.00047, 0.00046, 0.00040, 0.00034, 10.0000, 20.0000
0.0516, 0.7913, 0.0092, 0.7718, 0.00049, 0.00053, 0.00034, 0.00038, 10.0000, 21.0000
0.0490, 0.8891, 0.0088, 0.8630, 0.00048, 0.00056, 0.00033, 0.00035, 10.0000, 22.0000
